Champ,"Objet / Onglet","Sens du flux","API Name (source)","Data Type (source)",Required,"Values (Picklist, Formula)","A interfacer",Synchro,"Cible existante","Field Label (cible)","API Name (cible)",Commentaires
"Code (tiers)","Comptes-Salesforce vers Codial","Salesforce => Codial",,,false,,"✅ Oui",,"Champ existant",Code,,
NIC,"Comptes - Codial vers Salesforce","Codial => Salesforce",IL_SIREN,Text,false,,"❌ Non",Création/Modification,"Champ existant",SIREN,NIC__c,"5 derniers chiffres du SIREN"
"Encours client AdLucem® Matières","Comptes - Codial vers Salesforce","Codial => Salesforce",,Currency,false,,"❌ Non",Création/Modification,"Champ existant","FP CLIENT",Encours_client_Matieres__c,
"Segment client","Comptes - Codial vers Salesforce","Codial => Salesforce",,"Picklist (Multi-Select)",false,Matières;Création,"❌ Non",Création/Modification,"Champ existant","FP CLIENT",Segment_client__c,
"Produits utilisés","Comptes - Codial vers Salesforce","Codial => Salesforce",,"Picklist (Multi-Select)",false,LucemChoc®;Terrazzo,"❌ Non",Création/Modification,"Champ existant","FP CLIENT",Produits_utilises__c,
"Appartenance client","Comptes - Codial vers Salesforce","Codial => Salesforce",,Picklist,false,"AdLucem®;AdLucem Création®","❌ Non",Création/Modification,"Champ existant","FP CLIENT",Appartenance_client__c,
"Nom d'expédition","Comptes - Codial vers Salesforce","Codial => Salesforce",TE4,Text,false,,"❌ Non",Création/Modification,"Champ existant","Nom Livraison",Nom_d_expedition__c,
"Mode de règlement","Comptes - Codial vers Salesforce","Codial => Salesforce",RGLT,Picklist,false,,"✅ Oui",Création/Modification,"Champ à modifier","Mode de règlement",Mode_de_reglement__c,
"Libellé banque","Comptes - Codial vers Salesforce","Codial => Salesforce",TE11,Text,false,,"✅ Oui",Création/Modification,"Champ existant",Domiciliation,Libelle_banque__c,
"Établissement bancaire","Comptes - Codial vers Salesforce","Codial => Salesforce",,Text,false,,"❌ Non",Création/Modification,"Champ existant",,Etablissement_bancaire__c,
RIB,"Comptes - Codial vers Salesforce","Codial => Salesforce",,Text,false,,"❌ Non",Création/Modification,"Champ existant",,RIB__c,
IBAN,"Comptes - Codial vers Salesforce","Codial => Salesforce",IBAN,Text,false,,"✅ Oui",Création/Modification,"Champ existant",IBAN,IBAN__c,
BIC,"Comptes - Codial vers Salesforce","Codial => Salesforce",BIC,Text,false,,"✅ Oui",Création/Modification,"Champ existant",BIC,BIC__c,
SIREN,"Comptes - Codial vers Salesforce","Codial => Salesforce",IL_SIREN,Text,false,,"✅ Oui",Création/Modification,"Champ existant",SIREN,SIREN__c,
SIRET,"Comptes - Codial vers Salesforce","Codial => Salesforce",SIRET,Text,false,,"✅ Oui",Création/Modification,"Champ existant",SIRET,SIRET__c,
"Type d'agrément","Comptes - Codial vers Salesforce","Codial => Salesforce",,"Picklist (Multi-Select)",false,"Béton ciré;Terrazzo","❌ Non",Création/Modification,"Champ existant","FP CLIENT",Type_d_agrement__c,
"Code NAF","Comptes - Codial vers Salesforce","Codial => Salesforce",CODE_NAF,Text,false,,"✅ Oui",Création/Modification,"Champ existant","Code NAF",Code_NAF__c,
"N°de TVA intracommunautaire","Comptes - Codial vers Salesforce","Codial => Salesforce",NINTRACOM,Text,false,,"✅ Oui",Création/Modification,"Champ existant","N° TVA Intracommunautaire",N_de_TVA_intracommunautaire__c,
Classification,"Comptes - Codial vers Salesforce","Codial => Salesforce",,Picklist,false,Artisan;EA;Entreprise,"❌ Non",Création/Modification,"Champ existant",,Classification__c,
"Exclusif AdLucem","Comptes - Codial vers Salesforce","Codial => Salesforce",,Picklist,false,,"❌ Non",Création/Modification,"Champ existant",,Exclusif_AdLucem__c,
"Adresse expédition 2 (Rue)","Comptes - Codial vers Salesforce","Codial => Salesforce",,"Text Area",false,,"❌ Non",Création/Modification,"Champ existant",,Adresse_expedition_2__Street__s,"Les adresses de livraison supplémentaires sont stockées dans une table à part il peut y avoir autant d'adresses souhaitées sur un même client"
"Adresse expédition 2 (Ville)","Comptes - Codial vers Salesforce","Codial => Salesforce",,Text,false,,"❌ Non",Création/Modification,"Champ existant",,Adresse_expedition_2__City__s,"Les adresses de livraison supplémentaires sont stockées dans une table à part il peut y avoir autant d'adresses souhaitées sur un même client"
"Adresse expédition 2 (Code postal)","Comptes - Codial vers Salesforce","Codial => Salesforce",,Text,false,,"❌ Non",Création/Modification,"Champ existant",,Adresse_expedition_2__PostalCode__s,"Les adresses de livraison supplémentaires sont stockées dans une table à part il peut y avoir autant d'adresses souhaitées sur un même client"
"Adresse expédition 2","Comptes - Codial vers Salesforce","Codial => Salesforce",,Address,false,,"❌ Non",Création/Modification,"Champ existant",,Adresse_expedition_2__c,"Les adresses de livraison supplémentaires sont stockées dans une table à part il peut y avoir autant d'adresses souhaitées sur un même client"
"Adresse expédition 3 (Rue)","Comptes - Codial vers Salesforce","Codial => Salesforce",,"Text Area",false,,"❌ Non",Création/Modification,"Champ existant",,Adresse_expedition_3__Street__s,"Les adresses de livraison supplémentaires sont stockées dans une table à part il peut y avoir autant d'adresses souhaitées sur un même client"
"Adresse expédition 3 (Ville)","Comptes - Codial vers Salesforce","Codial => Salesforce",,Text,false,,"❌ Non",Création/Modification,"Champ existant",,Adresse_expedition_3__City__s,"Les adresses de livraison supplémentaires sont stockées dans une table à part il peut y avoir autant d'adresses souhaitées sur un même client"
